actual,probability_of_default,risk_band,decision,credit_score
0,0.3827323497077517,Very High Risk,Reject,639
0,0.24849137630799792,High Risk,Manual Review,713
0,0.08931745797042036,Very Low Risk,Approve,801
0,0.12376761696323903,Low Risk,Manual Review,782
0,0.23452398181211886,High Risk,Manual Review,721
0,0.24503031647383497,High Risk,Manual Review,715
0,0.0806765813220941,Very Low Risk,Approve,806
1,0.42544746735309785,Very High Risk,Reject,616
0,0.1185383601469166,Low Risk,Manual Review,785
0,0.18085173282233497,Medium Risk,Manual Review,751
0,0.1194972818730721,Low Risk,Manual Review,784
0,0.1980161825277242,Medium Risk,Manual Review,741
1,0.27032146822930525,High Risk,Reject,701
1,0.4304143049259232,Very High Risk,Reject,613
1,0.17924498941247427,Medium Risk,Manual Review,751
0,0.13278273151951048,Low Risk,Manual Review,777
0,0.11341559199552838,Low Risk,Manual Review,788
0,0.07227361469890123,Very Low Risk,Approve,810
0,0.18454393811461456,Medium Risk,Manual Review,749
0,0.08232441434065471,Very Low Risk,Approve,805
0,0.2302600465827973,High Risk,Manual Review,723
0,0.2016576571144983,Medium Risk,Manual Review,739
0,0.4848615877313711,Very High Risk,Reject,583
0,0.49227196239708426,Very High Risk,Reject,579
0,0.4458808919306318,Very High Risk,Reject,605
0,0.2010341467265159,Medium Risk,Manual Review,739
0,0.25265405518825895,High Risk,Reject,711
0,0.03929726570120069,Very Low Risk,Approve,828
0,0.23214332292394713,High Risk,Manual Review,722
1,0.20423806757172344,Medium Risk,Manual Review,738
0,0.12407373076748374,Low Risk,Manual Review,782
0,0.05070574273935574,Very Low Risk,Approve,822
0,0.2301707178494623,High Risk,Manual Review,723
0,0.13254737980182194,Low Risk,Manual Review,777
0,0.2371993063262684,High Risk,Manual Review,720
1,0.45766222701213904,Very High Risk,Reject,598
1,0.17799355341447265,Medium Risk,Manual Review,752
0,0.11652790235555673,Low Risk,Manual Review,786
0,0.18454517831159256,Medium Risk,Manual Review,749
0,0.08898379617791972,Very Low Risk,Approve,801
0,0.2987499527262538,High Risk,Reject,686
0,0.3580356555188921,Very High Risk,Reject,653
0,0.07908912181065103,Very Low Risk,Approve,807
0,0.5478373619169778,Very High Risk,Reject,549
0,0.24514341746482762,High Risk,Manual Review,715
0,0.12188986203164873,Low Risk,Manual Review,783
0,0.3412474392069322,Very High Risk,Reject,662
0,0.2609376611806498,High Risk,Reject,706
0,0.36839547591193944,Very High Risk,Reject,647
1,0.2655975971633289,High Risk,Reject,704
0,0.0808556484469582,Very Low Risk,Approve,806
1,0.36158629138722653,Very High Risk,Reject,651
0,0.05639351873215695,Very Low Risk,Approve,819
1,0.11218174120842318,Low Risk,Manual Review,788
0,0.3372679211199033,Very High Risk,Reject,665
0,0.10536971799878418,Low Risk,Manual Review,792
0,0.18956493332781185,Medium Risk,Manual Review,746
0,0.25054484365276664,High Risk,Reject,712
0,0.3071063086530414,High Risk,Reject,681
0,0.09841143636550122,Low Risk,Approve,796
0,0.16692602362209455,Medium Risk,Manual Review,758
0,0.24790942980692207,High Risk,Manual Review,714
0,0.036706109220394106,Very Low Risk,Approve,830
1,0.16419045631920126,Medium Risk,Manual Review,760
0,0.2110197522114039,Medium Risk,Manual Review,734
0,0.3320442500448401,Very High Risk,Reject,667
0,0.3516784240165634,Very High Risk,Reject,657
0,0.20400365904467144,Medium Risk,Manual Review,738
0,0.33108940819823596,Very High Risk,Reject,668
0,0.3869296963135842,Very High Risk,Reject,637
0,0.23648838976674938,High Risk,Manual Review,720
0,0.20861184936348548,Medium Risk,Manual Review,735
0,0.1131163021340073,Low Risk,Manual Review,788
0,0.28936840706823924,High Risk,Reject,691
0,0.12527944206191113,Low Risk,Manual Review,781
0,0.17720304099081402,Medium Risk,Manual Review,753
0,0.07108942264437937,Very Low Risk,Approve,811
1,0.3199536663409965,Very High Risk,Reject,674
0,0.10222558619211188,Low Risk,Manual Review,794
0,0.13428644135093157,Low Risk,Manual Review,776
0,0.15845255084328888,Medium Risk,Manual Review,763
0,0.21367148390359858,High Risk,Manual Review,732
0,0.2780507498249491,High Risk,Reject,697
0,0.23089583893009064,High Risk,Manual Review,723
1,0.24472681711287658,High Risk,Manual Review,715
0,0.22113601994046306,High Risk,Manual Review,728
0,0.04054333513326125,Very Low Risk,Approve,828
0,0.047715428484845834,Very Low Risk,Approve,824
0,0.26038317585813636,High Risk,Reject,707
1,0.061290761858514314,Very Low Risk,Approve,816
1,0.4923511398038646,Very High Risk,Reject,579
1,0.5156759141169015,Very High Risk,Reject,566
0,0.37627124361787156,Very High Risk,Reject,643
0,0.2346523959460645,High Risk,Manual Review,721
0,0.0807669375068576,Very Low Risk,Approve,806
0,0.07811195048895811,Very Low Risk,Approve,807
0,0.1479178853296773,Medium Risk,Manual Review,769
0,0.2598145237043167,High Risk,Reject,707
0,0.3126090948897382,Very High Risk,Reject,678
0,0.1875673565962217,Medium Risk,Manual Review,747
0,0.16793362896870495,Medium Risk,Manual Review,758
0,0.09652770830786725,Low Risk,Approve,797
0,0.2936205678195983,High Risk,Reject,689
0,0.0413258818403092,Very Low Risk,Approve,827
0,0.061223126676646374,Very Low Risk,Approve,816
0,0.27614105987816423,High Risk,Reject,698
0,0.13092627897896206,Low Risk,Manual Review,778
0,0.29087471161927414,High Risk,Reject,690
0,0.16205518270204278,Medium Risk,Manual Review,761
0,0.12333134218599746,Low Risk,Manual Review,782
0,0.16213867104858026,Medium Risk,Manual Review,761
0,0.03727124572638775,Very Low Risk,Approve,830
0,0.06228947781654833,Very Low Risk,Approve,816
1,0.05916572111433882,Very Low Risk,Approve,817
1,0.21556958374599344,High Risk,Manual Review,731
1,0.5737255468105071,Very High Risk,Reject,534
1,0.37574405569528074,Very High Risk,Reject,643
1,0.06187221036894758,Very Low Risk,Approve,816
1,0.09978779739021365,Low Risk,Approve,795
0,0.3522628637451007,Very High Risk,Reject,656
0,0.06310346818979998,Very Low Risk,Approve,815
1,0.27699663658415935,High Risk,Reject,698
0,0.5539440482304799,Very High Risk,Reject,545
0,0.3408960715335717,Very High Risk,Reject,663
1,0.19403449400653588,Medium Risk,Manual Review,743
0,0.055501826543018,Very Low Risk,Approve,819
1,0.2234574570674608,High Risk,Manual Review,727
1,0.3874082084340075,Very High Risk,Reject,637
0,0.18761557268981177,Medium Risk,Manual Review,747
0,0.40789546962575846,Very High Risk,Reject,626
0,0.30099910052461454,High Risk,Reject,684
0,0.22095795369928736,High Risk,Manual Review,728
1,0.3686246815958394,Very High Risk,Reject,647
0,0.19204457273107664,Medium Risk,Manual Review,744
0,0.03503132955814894,Very Low Risk,Approve,831
0,0.2336081318736747,High Risk,Manual Review,722
0,0.03605271717207796,Very Low Risk,Approve,830
0,0.3786611298280056,Very High Risk,Reject,642
0,0.28653915305484073,High Risk,Reject,692
1,0.08367230218770147,Very Low Risk,Approve,804
0,0.3573061883382179,Very High Risk,Reject,653
0,0.022513484721676965,Very Low Risk,Approve,838
0,0.19730525446028332,Medium Risk,Manual Review,741
0,0.46189742860055866,Very High Risk,Reject,596
0,0.26261489246154596,High Risk,Reject,706
0,0.06518037451138559,Very Low Risk,Approve,814
1,0.22512775979235913,High Risk,Manual Review,726
1,0.2205196441234571,High Risk,Manual Review,729
0,0.10071844901827771,Low Risk,Manual Review,795
0,0.35495282811918716,Very High Risk,Reject,655
0,0.06678602234844953,Very Low Risk,Approve,813
1,0.1664451473069304,Medium Risk,Manual Review,758
0,0.24020906833253255,High Risk,Manual Review,718
0,0.18965813210070256,Medium Risk,Manual Review,746
1,0.3436453233562217,Very High Risk,Reject,661
0,0.21577209961073204,High Risk,Manual Review,731
0,0.09319779560480719,Low Risk,Approve,799
0,0.24205352315388443,High Risk,Manual Review,717
0,0.3484560643496454,Very High Risk,Reject,658
0,0.054797840969406306,Very Low Risk,Approve,820
0,0.1361894122858668,Low Risk,Manual Review,775
1,0.3858764518343958,Very High Risk,Reject,638
0,0.35987275335356517,Very High Risk,Reject,652
0,0.08244891311010387,Very Low Risk,Approve,805
0,0.032427750186298954,Very Low Risk,Approve,832
0,0.1928838901925395,Medium Risk,Manual Review,744
0,0.03455301503005101,Very Low Risk,Approve,831
0,0.06287290167795803,Very Low Risk,Approve,815
0,0.15155931552337287,Medium Risk,Manual Review,767
1,0.13828087481959067,Low Risk,Manual Review,774
0,0.4252390868218723,Very High Risk,Reject,616
1,0.23115892086571105,High Risk,Manual Review,723
0,0.22432532116075485,High Risk,Manual Review,727
0,0.08766149550594411,Very Low Risk,Approve,802
0,0.15244749685230896,Medium Risk,Manual Review,766
0,0.10554449088710773,Low Risk,Manual Review,792
0,0.03518309561280734,Very Low Risk,Approve,831
0,0.5832477376775903,Very High Risk,Reject,529
0,0.07491484441056978,Very Low Risk,Approve,809
0,0.13127823152562448,Low Risk,Manual Review,778
0,0.11116181428747075,Low Risk,Manual Review,789
0,0.04263425272369202,Very Low Risk,Approve,827
0,0.16219920577330696,Medium Risk,Manual Review,761
0,0.3273278136501043,Very High Risk,Reject,670
0,0.2656167047218432,High Risk,Reject,704
0,0.20215779443534118,Medium Risk,Manual Review,739
0,0.07356042271507197,Very Low Risk,Approve,810
1,0.5267256269218173,Very High Risk,Reject,560
0,0.20461243439900567,Medium Risk,Manual Review,737
0,0.18387461006287023,Medium Risk,Manual Review,749
0,0.3665832765012153,Very High Risk,Reject,648
0,0.29225553995933495,High Risk,Reject,689
0,0.6096569915257998,Very High Risk,Reject,515
0,0.06375132501151194,Very Low Risk,Approve,815
1,0.17597340544500215,Medium Risk,Manual Review,753
0,0.24368060698369504,High Risk,Manual Review,716
0,0.28059015647084007,High Risk,Reject,696
0,0.07180416022656134,Very Low Risk,Approve,811
0,0.15505080752944225,Medium Risk,Manual Review,765
0,0.20194696344966676,Medium Risk,Manual Review,739
1,0.43800823516325416,Very High Risk,Reject,609
1,0.2902753555888736,High Risk,Reject,690
1,0.40350898184355716,Very High Risk,Reject,628
1,0.28221449631082085,High Risk,Reject,695
0,0.291809201880711,High Risk,Reject,690
0,0.16552528346570453,Medium Risk,Manual Review,759
0,0.17453322640250188,Medium Risk,Manual Review,754
0,0.19154468580091658,Medium Risk,Manual Review,745
0,0.0946594991928792,Low Risk,Approve,798
1,0.12185813959267744,Low Risk,Manual Review,783
0,0.36200634477996085,Very High Risk,Reject,651
0,0.19572309207887753,Medium Risk,Manual Review,742
0,0.09193537565840493,Low Risk,Approve,799
0,0.12257141676972373,Low Risk,Manual Review,783
0,0.27268453241147383,High Risk,Reject,700
0,0.16805071395904653,Medium Risk,Manual Review,758
0,0.4203213207416452,Very High Risk,Reject,619
0,0.2478958689287611,High Risk,Manual Review,714
0,0.04835263862380965,Very Low Risk,Approve,823
0,0.08234940717038366,Very Low Risk,Approve,805
0,0.0994128670882913,Low Risk,Approve,795
0,0.28274657323850944,High Risk,Reject,694
0,0.30027390135516757,High Risk,Reject,685
1,0.12072345136516893,Low Risk,Manual Review,784
0,0.1787394492037935,Medium Risk,Manual Review,752
0,0.0783282259575739,Very Low Risk,Approve,807
0,0.15066332707908117,Medium Risk,Manual Review,767
1,0.22469240481117486,High Risk,Manual Review,726
0,0.19214270051965776,Medium Risk,Manual Review,744
0,0.11759559706828958,Low Risk,Manual Review,785
0,0.1895141831739777,Medium Risk,Manual Review,746
1,0.10381301953435981,Low Risk,Manual Review,793
0,0.22024911197529956,High Risk,Manual Review,729
1,0.16627661218215103,Medium Risk,Manual Review,759
0,0.19300426438672325,Medium Risk,Manual Review,744
0,0.07586388323117826,Very Low Risk,Approve,808
1,0.5990042346509964,Very High Risk,Reject,521
0,0.08593132752514641,Very Low Risk,Approve,803
0,0.3603150948200564,Very High Risk,Reject,652
1,0.2847311415616385,High Risk,Reject,693
0,0.2747802245770387,High Risk,Reject,699
0,0.030099457742971777,Very Low Risk,Approve,833
0,0.06975179193864385,Very Low Risk,Approve,812
0,0.03930327877547772,Very Low Risk,Approve,828
0,0.16234722071334348,Medium Risk,Manual Review,761
1,0.43090992957216173,Very High Risk,Reject,613
0,0.3101557204808391,Very High Risk,Reject,679
0,0.33216402599229466,Very High Risk,Reject,667
0,0.08826814619711484,Very Low Risk,Approve,801
0,0.17022118685861012,Medium Risk,Manual Review,756
0,0.3458852704390793,Very High Risk,Reject,660
0,0.5979460156388016,Very High Risk,Reject,521
1,0.34957143326488815,Very High Risk,Reject,658
1,0.47726232532037005,Very High Risk,Reject,588
0,0.06474674478249733,Very Low Risk,Approve,814
0,0.14023688752585647,Low Risk,Manual Review,773
0,0.45344770255887135,Very High Risk,Reject,601
0,0.09295158960751071,Low Risk,Approve,799
0,0.2908829258342546,High Risk,Reject,690
0,0.44660346834923204,Very High Risk,Reject,604
0,0.24230313961978034,High Risk,Manual Review,717
0,0.16773016888359088,Medium Risk,Manual Review,758
0,0.29934480326597934,High Risk,Reject,685
0,0.3858894702715653,Very High Risk,Reject,638
0,0.17469949334169585,Medium Risk,Manual Review,754
0,0.2873137155231393,High Risk,Reject,692
1,0.449860597870215,Very High Risk,Reject,603
0,0.061423872333858986,Very Low Risk,Approve,816
0,0.2272246507310956,High Risk,Manual Review,725
0,0.1289509264914858,Low Risk,Manual Review,779
0,0.18439189585817614,Medium Risk,Manual Review,749
0,0.05724498894360006,Very Low Risk,Approve,819
0,0.1761154503573926,Medium Risk,Manual Review,753
0,0.4351268109954267,Very High Risk,Reject,611
0,0.2210268762540802,High Risk,Manual Review,728
0,0.21824522699720955,High Risk,Manual Review,730
0,0.2342086301365753,High Risk,Manual Review,721
0,0.22052549024192436,High Risk,Manual Review,729
0,0.16829332030928662,Medium Risk,Manual Review,757
1,0.2951542621750272,High Risk,Reject,688
0,0.11329465248979352,Low Risk,Manual Review,788
0,0.13372597483595178,Low Risk,Manual Review,776
1,0.442904480114291,Very High Risk,Reject,606
0,0.07441381832311082,Very Low Risk,Approve,809
0,0.22632417909580677,High Risk,Manual Review,726
0,0.11286148772597512,Low Risk,Manual Review,788
0,0.17153553412821176,Medium Risk,Manual Review,756
0,0.14605539042297594,Low Risk,Manual Review,770
0,0.4437809103582336,Very High Risk,Reject,606
0,0.20962495157864974,Medium Risk,Manual Review,735
1,0.16708072068592772,Medium Risk,Manual Review,758
0,0.153516075146563,Medium Risk,Manual Review,766
1,0.4656479378420918,Very High Risk,Reject,594
1,0.49239931663176284,Very High Risk,Reject,579
0,0.22063137982639824,High Risk,Manual Review,729
1,0.15462793722322293,Medium Risk,Manual Review,765
0,0.1876082678494104,Medium Risk,Manual Review,747
0,0.11124498386543408,Low Risk,Manual Review,789
0,0.3196727497218492,Very High Risk,Reject,674
0,0.06157422915977941,Very Low Risk,Approve,816
1,0.23199838275565607,High Risk,Manual Review,722
0,0.1482925311452724,Medium Risk,Manual Review,768
1,0.23898791771168543,High Risk,Manual Review,719
0,0.5423735297612878,Very High Risk,Reject,552
0,0.04612182968793614,Very Low Risk,Approve,825
1,0.2130761048172933,Medium Risk,Manual Review,733
0,0.03915183382734866,Very Low Risk,Approve,828
0,0.037473411321298104,Very Low Risk,Approve,829
0,0.09366573013422938,Low Risk,Approve,798
0,0.10319323102678635,Low Risk,Manual Review,793
1,0.4993079185731906,Very High Risk,Reject,575
0,0.278706679975858,High Risk,Reject,697
1,0.09849511249114515,Low Risk,Approve,796
0,0.16262036060314305,Medium Risk,Manual Review,761
1,0.06323384219127746,Very Low Risk,Approve,815
0,0.12274966287275751,Low Risk,Manual Review,782
0,0.2328148758162117,High Risk,Manual Review,722
0,0.16695824004363227,Medium Risk,Manual Review,758
0,0.16288123998153808,Medium Risk,Manual Review,760
0,0.41844812779799817,Very High Risk,Reject,620
0,0.11206165356663268,Low Risk,Manual Review,788
1,0.3164179359069813,Very High Risk,Reject,676
1,0.09544261345897916,Low Risk,Approve,798
0,0.1600187671965302,Medium Risk,Manual Review,762
0,0.19184316128765538,Medium Risk,Manual Review,744
0,0.20547094000469168,Medium Risk,Manual Review,737
0,0.18599788744882353,Medium Risk,Manual Review,748
1,0.26873290934064337,High Risk,Reject,702
1,0.052290002653329025,Very Low Risk,Approve,821
0,0.1498231513319825,Medium Risk,Manual Review,768
0,0.0880800760426144,Very Low Risk,Approve,802
1,0.28839967883955886,High Risk,Reject,691
0,0.09356867812311184,Low Risk,Approve,799
0,0.10968365534079091,Low Risk,Manual Review,790
1,0.3202451138953767,Very High Risk,Reject,674
0,0.14592819006594165,Low Risk,Manual Review,770
0,0.28102196631658727,High Risk,Reject,695
1,0.4261519267843368,Very High Risk,Reject,616
1,0.18908014276861257,Medium Risk,Manual Review,746
0,0.1683657407935439,Medium Risk,Manual Review,757
1,0.3773778534571734,Very High Risk,Reject,642
1,0.14960887285695207,Medium Risk,Manual Review,768
1,0.478950831991719,Very High Risk,Reject,587
0,0.15284310189116607,Medium Risk,Manual Review,766
0,0.051460000817067794,Very Low Risk,Approve,822
0,0.1719997346062017,Medium Risk,Manual Review,755
1,0.41969698903576375,Very High Risk,Reject,619
1,0.2182007557896363,High Risk,Manual Review,730
0,0.23329884499771408,High Risk,Manual Review,722
0,0.18009693135339824,Medium Risk,Manual Review,751
0,0.06139387423352669,Very Low Risk,Approve,816
1,0.18432975975541582,Medium Risk,Manual Review,749
0,0.3660820593113951,Very High Risk,Reject,649
0,0.08285015292115323,Very Low Risk,Approve,804
0,0.16923489157310706,Medium Risk,Manual Review,757
0,0.12374317416710624,Low Risk,Manual Review,782
0,0.3599378523615692,Very High Risk,Reject,652
0,0.2589649690766542,High Risk,Reject,708
0,0.18051956676937297,Medium Risk,Manual Review,751
0,0.07467262794680635,Very Low Risk,Approve,809
0,0.07608026602350251,Very Low Risk,Approve,808
0,0.19167162237521126,Medium Risk,Manual Review,745
0,0.40482593024824326,Very High Risk,Reject,627
0,0.3702478934660032,Very High Risk,Reject,646
0,0.2341959655051592,High Risk,Manual Review,721
0,0.20164286729385458,Medium Risk,Manual Review,739
0,0.05660161940544377,Very Low Risk,Approve,819
0,0.2132193226531883,Medium Risk,Manual Review,733
0,0.35061689503167986,Very High Risk,Reject,657
0,0.22403907522177102,High Risk,Manual Review,727
0,0.24634684319696354,High Risk,Manual Review,715
0,0.08342601822450015,Very Low Risk,Approve,804
0,0.28455380844854383,High Risk,Reject,693
0,0.1785611948364024,Medium Risk,Manual Review,752
0,0.08204119439318412,Very Low Risk,Approve,805
0,0.04879319453778874,Very Low Risk,Approve,823
0,0.20670187230303122,Medium Risk,Manual Review,736
0,0.037904809137843165,Very Low Risk,Approve,829
1,0.1422180755985542,Low Risk,Manual Review,772
0,0.05669864622715641,Very Low Risk,Approve,819
0,0.04342727247414731,Very Low Risk,Approve,826
0,0.46214856470577387,Very High Risk,Reject,596
0,0.3254011597034959,Very High Risk,Reject,671
0,0.06885459941172795,Very Low Risk,Approve,812
0,0.35535834741086586,Very High Risk,Reject,655
1,0.1685414733143229,Medium Risk,Manual Review,757
0,0.13239993408645503,Low Risk,Manual Review,777
0,0.1599205244823536,Medium Risk,Manual Review,762
0,0.07346661218895104,Very Low Risk,Approve,810
0,0.25107537820674847,High Risk,Reject,712
0,0.2758014723624972,High Risk,Reject,698
0,0.37304352676855174,Very High Risk,Reject,645
0,0.0755693305582261,Very Low Risk,Approve,808
0,0.2873330767850164,High Risk,Reject,692
0,0.03280780132517313,Very Low Risk,Approve,832
1,0.2695512801905078,High Risk,Reject,702
0,0.03063202387357867,Very Low Risk,Approve,833
0,0.12361068954523274,Low Risk,Manual Review,782
0,0.10427428269876024,Low Risk,Manual Review,793
0,0.039564008984616435,Very Low Risk,Approve,828
0,0.30328020247252746,High Risk,Reject,683
1,0.4712396690037501,Very High Risk,Reject,591
0,0.055114829823278984,Very Low Risk,Approve,820
0,0.14471063494481304,Low Risk,Manual Review,770
1,0.35710082522412495,Very High Risk,Reject,654
1,0.47484822251037867,Very High Risk,Reject,589
0,0.21205776500467818,Medium Risk,Manual Review,733
0,0.3214404466672426,Very High Risk,Reject,673
0,0.09961211272134914,Low Risk,Approve,795
1,0.13975416987973321,Low Risk,Manual Review,773
0,0.2023277664905567,Medium Risk,Manual Review,739
0,0.11148049105647448,Low Risk,Manual Review,789
0,0.07198226025759429,Very Low Risk,Approve,810
1,0.4161973511078848,Very High Risk,Reject,621
0,0.060401176214066876,Very Low Risk,Approve,817
0,0.130359317573502,Low Risk,Manual Review,778
0,0.389144503083781,Very High Risk,Reject,636
0,0.23202534324633842,High Risk,Manual Review,722
0,0.15186006252727738,Medium Risk,Manual Review,766
0,0.18898487174074344,Medium Risk,Manual Review,746
1,0.18446314737230568,Medium Risk,Manual Review,749
0,0.13277593539623983,Low Risk,Manual Review,777
0,0.2395449259300953,High Risk,Manual Review,718
0,0.10008211302800286,Low Risk,Manual Review,795
0,0.530376069977908,Very High Risk,Reject,558
1,0.14912113904101287,Medium Risk,Manual Review,768
0,0.19620495377267347,Medium Risk,Manual Review,742
0,0.13557359760284834,Low Risk,Manual Review,775
1,0.15263307290992614,Medium Risk,Manual Review,766
0,0.17990640476361364,Medium Risk,Manual Review,751
0,0.3126151283278661,Very High Risk,Reject,678
0,0.4541610812323662,Very High Risk,Reject,600
0,0.22969510045032782,High Risk,Manual Review,724
0,0.5841081415825828,Very High Risk,Reject,529
0,0.08023660955307513,Very Low Risk,Approve,806
0,0.15831700033002444,Medium Risk,Manual Review,763
0,0.4022140378343118,Very High Risk,Reject,629
1,0.12019805624405419,Low Risk,Manual Review,784
0,0.4601550766911845,Very High Risk,Reject,597
0,0.048901372706731006,Very Low Risk,Approve,823
0,0.21393092279009,High Risk,Manual Review,732
0,0.409221263374436,Very High Risk,Reject,625
0,0.18384959681261354,Medium Risk,Manual Review,749
0,0.40402374962970783,Very High Risk,Reject,628
1,0.41774777236272137,Very High Risk,Reject,620
1,0.18931298513317893,Medium Risk,Manual Review,746
0,0.3998846258265718,Very High Risk,Reject,630
0,0.0805049640829432,Very Low Risk,Approve,806
0,0.3899225786139759,Very High Risk,Reject,636
0,0.08040265819463818,Very Low Risk,Approve,806
0,0.04729465774274663,Very Low Risk,Approve,824
0,0.07826100332901943,Very Low Risk,Approve,807
1,0.15436064730509044,Medium Risk,Manual Review,765
0,0.10991830660980784,Low Risk,Manual Review,790
0,0.2638204416098847,High Risk,Reject,705
0,0.0997757194012814,Low Risk,Approve,795
1,0.3277141319116472,Very High Risk,Reject,670
0,0.02866390426596426,Very Low Risk,Approve,834
0,0.337369882148895,Very High Risk,Reject,664
0,0.03397082754399637,Very Low Risk,Approve,831
0,0.1956125907960009,Medium Risk,Manual Review,742
1,0.31162805488474554,Very High Risk,Reject,679
0,0.3484829134058604,Very High Risk,Reject,658
0,0.04316420442978186,Very Low Risk,Approve,826
0,0.32475495745236604,Very High Risk,Reject,671
0,0.1277982204728048,Low Risk,Manual Review,780
0,0.2946985712407966,High Risk,Reject,688
0,0.26822092206657483,High Risk,Reject,702
0,0.0935238549443165,Low Risk,Approve,799
0,0.14360133620868826,Low Risk,Manual Review,771
1,0.27408764022143817,High Risk,Reject,699
0,0.1803470050037713,Medium Risk,Manual Review,751
0,0.47462114400897504,Very High Risk,Reject,589
0,0.31044733410875297,Very High Risk,Reject,679
0,0.23362610917371818,High Risk,Manual Review,722
0,0.3821560448847648,Very High Risk,Reject,640
0,0.23132109814774846,High Risk,Manual Review,723
1,0.4052564252491104,Very High Risk,Reject,627
0,0.04004120671852101,Very Low Risk,Approve,828
0,0.10522297288327304,Low Risk,Manual Review,792
0,0.25154344103651005,High Risk,Reject,712
1,0.4526204622755017,Very High Risk,Reject,601
0,0.09294438492283552,Low Risk,Approve,799
1,0.1570719575376518,Medium Risk,Manual Review,764
0,0.09874451846701912,Low Risk,Approve,796
0,0.1748004647197045,Medium Risk,Manual Review,754
0,0.15405172984884552,Medium Risk,Manual Review,765
0,0.1534047163618966,Medium Risk,Manual Review,766
0,0.04333861790161098,Very Low Risk,Approve,826
0,0.13832792292091334,Low Risk,Manual Review,774
0,0.06817256444888721,Very Low Risk,Approve,813
1,0.4609693576857242,Very High Risk,Reject,596
0,0.13777323463954042,Low Risk,Manual Review,774
0,0.0827868254119938,Very Low Risk,Approve,804
0,0.16872125380451033,Medium Risk,Manual Review,757
1,0.4051613802895999,Very High Risk,Reject,627
0,0.292087537390444,High Risk,Reject,689
0,0.02770803959971721,Very Low Risk,Approve,835
