loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,fico_range_low,fico_range_high,open_acc,revol_bal,revol_util,delinq_2yrs,pub_rec,inq_last_6mths,target
8000.0, 36 months,10.49,B,B2,10+ years,MORTGAGE,60000.0,Source Verified,home_improvement,13.86,710.0,714.0,8.0,21009.0,82.1,1.0,0.0,0.0,0
16000.0, 60 months,15.8,C,C3,9 years,MORTGAGE,62200.0,Source Verified,debt_consolidation,21.2,700.0,704.0,9.0,19997.0,78.0,0.0,0.0,1.0,0
10000.0, 36 months,12.49,B,B5,5 years,RENT,55000.0,Not Verified,debt_consolidation,14.12,660.0,664.0,9.0,8367.0,73.4,3.0,0.0,1.0,0
12225.0, 60 months,28.34,G,G3,10+ years,MORTGAGE,50000.0,Source Verified,debt_consolidation,8.45,680.0,684.0,8.0,10125.0,61.7,0.0,0.0,1.0,1
18000.0, 36 months,6.39,A,A2,10+ years,OWN,92000.0,Verified,debt_consolidation,15.94,755.0,759.0,12.0,12006.0,28.9,0.0,0.0,0.0,0
25000.0, 60 months,24.99,E,E4,2 years,RENT,74899.0,Not Verified,debt_consolidation,31.41,660.0,664.0,16.0,20000.0,57.6,0.0,0.0,0.0,0
40000.0, 36 months,8.59,A,A5,10+ years,OWN,145000.0,Source Verified,debt_consolidation,7.91,725.0,729.0,18.0,34793.0,29.6,0.0,0.0,0.0,0
25000.0, 36 months,5.32,A,A1,4 years,MORTGAGE,72000.0,Not Verified,debt_consolidation,15.33,710.0,714.0,9.0,19038.0,50.8,1.0,0.0,0.0,0
10000.0, 36 months,19.24,E,E2,2 years,RENT,56000.0,Source Verified,debt_consolidation,16.76,675.0,679.0,15.0,6236.0,40.0,0.0,0.0,1.0,0
10000.0, 36 months,6.92,A,A4,10+ years,MORTGAGE,40000.0,Source Verified,debt_consolidation,14.58,700.0,704.0,14.0,7857.0,33.4,0.0,0.0,1.0,0
12000.0, 36 months,14.64,C,C3,10+ years,MORTGAGE,95000.0,Source Verified,moving,5.77,660.0,664.0,8.0,6608.0,77.7,5.0,0.0,0.0,0
6650.0, 36 months,19.72,D,D5,2 years,RENT,24343.0,Verified,other,13.8,675.0,679.0,10.0,7585.0,46.8,0.0,0.0,3.0,1
7500.0, 36 months,13.99,C,C4,5 years,MORTGAGE,40229.0,Source Verified,credit_card,6.15,670.0,674.0,6.0,6671.0,96.7,0.0,0.0,0.0,0
28675.0, 36 months,7.89,A,A5,8 years,RENT,150000.0,Source Verified,credit_card,11.12,675.0,679.0,10.0,38512.0,74.2,1.0,0.0,1.0,0
11200.0, 60 months,21.99,E,E5,8 years,RENT,75000.0,Verified,debt_consolidation,17.76,660.0,664.0,12.0,8600.0,77.5,0.0,1.0,1.0,1
25000.0, 36 months,19.05,D,D4,10+ years,MORTGAGE,137500.0,Source Verified,debt_consolidation,12.53,685.0,689.0,11.0,3664.0,79.7,0.0,2.0,0.0,0
20000.0, 36 months,13.99,C,C3,10+ years,MORTGAGE,75000.0,Not Verified,credit_card,21.84,695.0,699.0,7.0,16181.0,85.6,0.0,0.0,1.0,0
34875.0, 36 months,18.25,D,D3,6 years,RENT,100000.0,Source Verified,house,12.49,705.0,709.0,10.0,19749.0,57.1,0.0,0.0,3.0,0
8000.0, 36 months,13.99,C,C3,3 years,RENT,90000.0,Source Verified,other,14.21,675.0,679.0,8.0,4572.0,42.7,0.0,1.0,1.0,0
10000.0, 36 months,12.35,B,B4,10+ years,MORTGAGE,34000.0,Verified,debt_consolidation,25.27,705.0,709.0,14.0,4855.0,32.4,0.0,0.0,1.0,0
9100.0, 36 months,10.15,B,B2,1 year,MORTGAGE,36000.0,Not Verified,credit_card,8.67,695.0,699.0,13.0,6753.0,22.7,0.0,0.0,2.0,0
9600.0, 36 months,7.49,A,A4,1 year,MORTGAGE,40000.0,Not Verified,debt_consolidation,10.32,695.0,699.0,10.0,7740.0,45.8,0.0,0.0,0.0,0
20000.0, 36 months,12.29,C,C1,10+ years,RENT,86000.0,Verified,other,19.96,695.0,699.0,10.0,17167.0,43.6,0.0,1.0,0.0,1
15000.0, 36 months,10.49,B,B3,10+ years,RENT,124140.0,Source Verified,debt_consolidation,9.62,670.0,674.0,6.0,1106.0,12.2,0.0,1.0,0.0,0
18000.0, 60 months,20.0,D,D4,5 years,MORTGAGE,170000.0,Verified,debt_consolidation,24.5,670.0,674.0,23.0,29257.0,39.7,0.0,1.0,1.0,0
36000.0, 60 months,10.42,B,B3,4 years,MORTGAGE,70200.0,Verified,debt_consolidation,12.61,715.0,719.0,17.0,4756.0,7.9,0.0,0.0,1.0,0
9500.0, 36 months,6.99,A,A2,< 1 year,RENT,68000.0,Source Verified,credit_card,9.14,740.0,744.0,3.0,8252.0,54.3,0.0,0.0,0.0,0
16800.0, 36 months,10.42,B,B3,1 year,RENT,85000.0,Not Verified,debt_consolidation,25.67,695.0,699.0,14.0,9334.0,34.0,0.0,0.0,1.0,0
13000.0, 36 months,11.47,B,B5,1 year,MORTGAGE,70000.0,Source Verified,debt_consolidation,18.96,680.0,684.0,10.0,18465.0,86.7,0.0,0.0,1.0,0
11000.0, 36 months,10.49,B,B3,10+ years,RENT,37000.0,Source Verified,debt_consolidation,16.19,665.0,669.0,5.0,11066.0,79.0,0.0,1.0,0.0,0
12000.0, 36 months,10.99,B,B2,5 years,RENT,40000.0,Not Verified,credit_card,23.53,715.0,719.0,10.0,10873.0,61.1,0.0,0.0,0.0,0
12000.0, 36 months,15.61,C,C4,6 years,MORTGAGE,115000.0,Verified,debt_consolidation,15.53,680.0,684.0,10.0,19283.0,61.8,0.0,0.0,3.0,0
16000.0, 36 months,8.24,B,B1,10+ years,RENT,71000.0,Source Verified,credit_card,15.88,670.0,674.0,18.0,16247.0,56.4,2.0,0.0,0.0,0
13500.0, 36 months,11.67,B,B4,3 years,MORTGAGE,55676.0,Source Verified,credit_card,17.65,680.0,684.0,8.0,10217.0,91.2,0.0,1.0,0.0,0
18000.0, 60 months,9.99,B,B3,1 year,RENT,58000.0,Source Verified,credit_card,20.15,680.0,684.0,12.0,14069.0,57.2,0.0,0.0,0.0,1
20000.0, 60 months,15.61,D,D1,< 1 year,OWN,50000.0,Source Verified,credit_card,11.8,670.0,674.0,8.0,14332.0,71.7,0.0,1.0,0.0,1
14050.0, 60 months,18.24,D,D5,2 years,RENT,32000.0,Source Verified,debt_consolidation,9.14,660.0,664.0,9.0,8535.0,46.9,0.0,1.0,3.0,0
10000.0, 36 months,11.47,B,B5,missing,RENT,37000.0,Verified,debt_consolidation,26.31,695.0,699.0,10.0,22405.0,49.7,0.0,0.0,1.0,0
16875.0, 36 months,6.49,A,A2,7 years,RENT,98000.0,Not Verified,credit_card,18.09,700.0,704.0,13.0,18854.0,57.1,0.0,0.0,1.0,0
20000.0, 60 months,13.66,C,C3,10+ years,MORTGAGE,100000.0,Source Verified,debt_consolidation,20.76,685.0,689.0,12.0,26809.0,80.0,0.0,0.0,0.0,0
7000.0, 36 months,12.59,C,C2,2 years,RENT,35000.0,Verified,debt_consolidation,33.37,670.0,674.0,17.0,9461.0,39.4,1.0,0.0,1.0,1
35000.0, 60 months,20.49,E,E1,10+ years,RENT,82884.0,Verified,debt_consolidation,25.44,700.0,704.0,9.0,27049.0,78.6,0.0,0.0,0.0,0
19400.0, 36 months,17.99,D,D2,< 1 year,RENT,50900.0,Source Verified,debt_consolidation,15.11,660.0,664.0,13.0,6966.0,31.1,0.0,1.0,1.0,1
10000.0, 36 months,12.29,C,C1,10+ years,RENT,32000.0,Source Verified,debt_consolidation,34.36,665.0,669.0,12.0,24637.0,71.2,0.0,1.0,0.0,1
29250.0, 60 months,18.24,D,D5,10+ years,OWN,120000.0,Verified,debt_consolidation,26.03,685.0,689.0,20.0,47583.0,72.4,0.0,0.0,1.0,0
1300.0, 36 months,8.24,B,B1,10+ years,RENT,66000.0,Source Verified,debt_consolidation,19.64,665.0,669.0,12.0,16256.0,91.8,0.0,0.0,0.0,1
7000.0, 36 months,11.89,B,B4,1 year,RENT,108000.0,Source Verified,house,7.04,790.0,794.0,4.0,2759.0,11.0,0.0,0.0,5.0,0
9000.0, 36 months,12.99,C,C1,< 1 year,RENT,46000.0,Not Verified,debt_consolidation,14.09,675.0,679.0,6.0,6911.0,47.0,0.0,0.0,3.0,0
9925.0, 36 months,12.99,C,C2,missing,MORTGAGE,72198.0,Verified,other,11.54,670.0,674.0,14.0,9475.0,96.7,0.0,0.0,0.0,0
12000.0, 60 months,13.18,C,C3,3 years,RENT,80000.0,Not Verified,debt_consolidation,18.86,720.0,724.0,26.0,4931.0,32.0,0.0,1.0,0.0,0
5000.0, 36 months,7.68,A,A2,1 year,MORTGAGE,40308.0,Not Verified,car,5.78,800.0,804.0,10.0,5312.0,7.2,0.0,0.0,0.0,0
10000.0, 36 months,10.99,B,B3,6 years,RENT,40000.0,Source Verified,debt_consolidation,14.88,690.0,694.0,8.0,7179.0,63.5,0.0,0.0,0.0,0
20000.0, 36 months,11.99,C,C1,10+ years,MORTGAGE,80000.0,Verified,debt_consolidation,15.24,660.0,664.0,9.0,10781.0,46.7,2.0,0.0,1.0,0
23425.0, 36 months,11.99,B,B5,9 years,MORTGAGE,51000.0,Verified,credit_card,35.76,700.0,704.0,11.0,39437.0,54.5,0.0,0.0,2.0,0
17000.0, 36 months,5.32,A,A1,7 years,MORTGAGE,150000.0,Not Verified,debt_consolidation,9.66,750.0,754.0,18.0,7003.0,17.9,0.0,3.0,1.0,0
7200.0, 36 months,14.11,D,D1,1 year,OWN,42996.0,Not Verified,other,13.62,700.0,704.0,3.0,1621.0,40.5,0.0,0.0,1.0,0
18000.0, 36 months,5.31,A,A1,10+ years,MORTGAGE,95000.0,Not Verified,debt_consolidation,1.31,780.0,784.0,5.0,5421.0,12.5,0.0,0.0,0.0,0
10000.0, 36 months,13.49,C,C2,5 years,MORTGAGE,86000.0,Verified,debt_consolidation,14.58,685.0,689.0,11.0,82908.0,56.8,0.0,0.0,2.0,0
5500.0, 36 months,12.99,C,C2,8 years,OWN,45000.0,Not Verified,credit_card,20.54,670.0,674.0,20.0,11420.0,63.1,0.0,0.0,0.0,0
14000.0, 36 months,9.49,B,B2,10+ years,OWN,55000.0,Source Verified,debt_consolidation,31.92,705.0,709.0,15.0,18685.0,47.2,0.0,0.0,1.0,0
5000.0, 60 months,13.61,C,C2,3 years,RENT,45000.0,Verified,other,21.81,715.0,719.0,10.0,0.0,0.0,0.0,0.0,2.0,1
4500.0, 36 months,10.74,B,B4,< 1 year,RENT,50000.0,Not Verified,wedding,12.82,675.0,679.0,9.0,713.0,39.6,5.0,0.0,0.0,0
8000.0, 36 months,7.69,A,A4,10+ years,MORTGAGE,45000.0,Source Verified,debt_consolidation,15.36,660.0,664.0,10.0,11125.0,51.0,0.0,1.0,1.0,0
10000.0, 36 months,9.49,B,B2,2 years,MORTGAGE,115000.0,Source Verified,debt_consolidation,9.98,700.0,704.0,11.0,5494.0,15.3,1.0,0.0,0.0,0
17250.0, 60 months,17.86,D,D5,< 1 year,RENT,35000.0,Source Verified,debt_consolidation,26.99,695.0,699.0,5.0,10020.0,92.8,0.0,0.0,1.0,0
8000.0, 36 months,13.99,C,C4,2 years,RENT,41000.0,Source Verified,moving,17.71,670.0,674.0,8.0,1467.0,77.2,0.0,0.0,0.0,0
15000.0, 36 months,19.03,D,D3,10+ years,MORTGAGE,41000.0,Source Verified,debt_consolidation,26.61,675.0,679.0,18.0,15748.0,43.4,0.0,1.0,1.0,0
10000.0, 36 months,13.49,C,C2,2 years,MORTGAGE,113300.0,Not Verified,debt_consolidation,13.52,665.0,669.0,12.0,30909.0,58.8,0.0,0.0,1.0,0
8500.0, 36 months,14.46,C,C4,6 years,RENT,40000.0,Verified,debt_consolidation,39.72,705.0,709.0,4.0,6450.0,99.2,0.0,0.0,0.0,0
14400.0, 60 months,17.57,D,D4,10+ years,RENT,81000.0,Source Verified,debt_consolidation,24.18,660.0,664.0,10.0,36323.0,78.6,1.0,0.0,0.0,1
21000.0, 36 months,11.47,B,B5,9 years,MORTGAGE,54000.0,Verified,debt_consolidation,31.49,705.0,709.0,17.0,20610.0,34.5,0.0,0.0,0.0,0
22300.0, 36 months,13.99,C,C4,10+ years,RENT,48500.0,Verified,credit_card,19.33,685.0,689.0,11.0,32032.0,89.7,0.0,0.0,0.0,0
5025.0, 36 months,16.99,D,D3,5 years,RENT,45000.0,Verified,debt_consolidation,2.94,740.0,744.0,10.0,5413.0,12.8,0.0,0.0,0.0,0
2000.0, 36 months,14.99,C,C4,2 years,RENT,60000.0,Source Verified,other,13.56,665.0,669.0,13.0,8389.0,43.0,0.0,0.0,1.0,0
6000.0, 36 months,12.12,B,B3,missing,MORTGAGE,70000.0,Verified,major_purchase,13.34,680.0,684.0,5.0,9528.0,56.0,0.0,0.0,0.0,0
3000.0, 36 months,15.61,D,D1,10+ years,RENT,36000.0,Verified,vacation,31.0,680.0,684.0,9.0,13755.0,51.7,0.0,0.0,0.0,1
8000.0, 36 months,6.49,A,A2,1 year,RENT,39000.0,Not Verified,debt_consolidation,20.98,690.0,694.0,20.0,9691.0,47.5,0.0,1.0,0.0,1
2500.0, 36 months,15.41,D,D1,2 years,RENT,22800.0,Verified,other,15.42,695.0,699.0,16.0,2914.0,37.4,0.0,0.0,1.0,0
23500.0, 60 months,19.05,D,D4,10+ years,MORTGAGE,60000.0,Verified,debt_consolidation,26.1,700.0,704.0,10.0,52316.0,82.9,1.0,0.0,1.0,0
15000.0, 60 months,18.06,D,D2,10+ years,MORTGAGE,75000.0,Verified,other,18.48,705.0,709.0,21.0,13600.0,20.0,0.0,0.0,0.0,0
24000.0, 36 months,11.99,C,C1,4 years,MORTGAGE,167000.0,Verified,home_improvement,13.54,720.0,724.0,8.0,6916.0,19.6,0.0,2.0,0.0,0
7000.0, 36 months,16.02,C,C5,2 years,RENT,43000.0,Source Verified,debt_consolidation,27.91,685.0,689.0,20.0,6939.0,26.2,0.0,1.0,0.0,1
11800.0, 36 months,17.57,D,D4,10+ years,OWN,80000.0,Verified,home_improvement,24.59,665.0,669.0,12.0,7819.0,53.9,0.0,0.0,0.0,1
17000.0, 36 months,6.49,A,A2,10+ years,OWN,84429.0,Source Verified,credit_card,25.92,750.0,754.0,12.0,18800.0,33.8,0.0,0.0,0.0,0
6500.0, 36 months,13.67,C,C3,1 year,RENT,30000.0,Source Verified,debt_consolidation,15.24,695.0,699.0,15.0,4239.0,18.0,0.0,1.0,4.0,0
17000.0, 36 months,9.67,B,B1,5 years,MORTGAGE,110000.0,Not Verified,credit_card,5.32,675.0,679.0,9.0,19745.0,60.6,1.0,0.0,0.0,0
21000.0, 36 months,10.15,B,B2,10+ years,MORTGAGE,78000.0,Source Verified,debt_consolidation,20.97,710.0,714.0,17.0,26925.0,64.4,0.0,1.0,1.0,0
16000.0, 36 months,12.99,C,C2,6 years,RENT,53000.0,Verified,credit_card,23.69,665.0,669.0,9.0,15830.0,85.6,0.0,1.0,0.0,0
35000.0, 36 months,17.09,D,D1,7 years,MORTGAGE,110000.0,Source Verified,home_improvement,13.37,695.0,699.0,15.0,7884.0,14.9,3.0,0.0,4.0,0
15000.0, 60 months,9.17,B,B2,5 years,MORTGAGE,47000.0,Source Verified,debt_consolidation,13.99,720.0,724.0,14.0,10890.0,28.4,0.0,0.0,0.0,0
7475.0, 36 months,11.99,C,C1,missing,MORTGAGE,22000.0,Not Verified,debt_consolidation,23.95,660.0,664.0,12.0,7700.0,64.7,0.0,0.0,1.0,1
10000.0, 36 months,7.26,A,A4,10+ years,OWN,120000.0,Source Verified,credit_card,22.29,740.0,744.0,11.0,45955.0,76.1,0.0,0.0,0.0,0
28000.0, 36 months,15.61,D,D1,10+ years,RENT,74000.0,Source Verified,debt_consolidation,18.18,695.0,699.0,11.0,13491.0,56.0,0.0,0.0,0.0,1
10000.0, 36 months,6.03,A,A1,10+ years,MORTGAGE,103000.0,Not Verified,debt_consolidation,15.58,690.0,694.0,20.0,26235.0,49.9,0.0,1.0,3.0,0
14000.0, 36 months,11.22,B,B5,4 years,RENT,47000.0,Verified,debt_consolidation,30.54,685.0,689.0,20.0,11543.0,79.1,0.0,0.0,1.0,0
6000.0, 36 months,12.05,C,C1,10+ years,MORTGAGE,122000.0,Source Verified,home_improvement,19.22,665.0,669.0,19.0,23291.0,77.1,0.0,1.0,0.0,0
27500.0, 60 months,12.99,C,C1,9 years,MORTGAGE,66000.0,Verified,credit_card,24.64,695.0,699.0,23.0,30805.0,51.1,0.0,0.0,0.0,0
28000.0, 36 months,8.9,A,A5,10+ years,MORTGAGE,109000.0,Not Verified,credit_card,13.48,715.0,719.0,5.0,62841.0,83.8,0.0,0.0,0.0,0
23925.0, 36 months,14.16,C,C2,missing,OWN,57000.0,Verified,debt_consolidation,24.91,700.0,704.0,15.0,26031.0,47.4,0.0,0.0,1.0,1
9000.0, 36 months,7.21,A,A3,7 years,MORTGAGE,99000.0,Not Verified,home_improvement,11.36,680.0,684.0,13.0,4598.0,7.3,0.0,1.0,1.0,0
12000.0, 36 months,14.65,C,C2,6 years,MORTGAGE,57000.0,Not Verified,credit_card,11.96,680.0,684.0,12.0,14815.0,48.9,0.0,0.0,1.0,0
9000.0, 36 months,10.65,B,B2,9 years,MORTGAGE,74000.0,Source Verified,credit_card,8.89,705.0,709.0,7.0,7388.0,71.7,0.0,0.0,0.0,0
22400.0, 60 months,23.99,E,E4,8 years,RENT,100000.0,Source Verified,credit_card,12.05,740.0,744.0,6.0,9119.0,41.6,0.0,0.0,0.0,0
13500.0, 60 months,22.47,E,E5,2 years,RENT,60000.0,Verified,debt_consolidation,16.32,695.0,699.0,20.0,12019.0,76.1,0.0,0.0,3.0,0
8000.0, 36 months,10.75,B,B4,10+ years,OWN,90000.0,Source Verified,home_improvement,4.74,670.0,674.0,6.0,22689.0,79.6,0.0,0.0,1.0,0
12000.0, 36 months,9.17,B,B1,10+ years,RENT,88000.0,Not Verified,debt_consolidation,26.52,710.0,714.0,8.0,1923.0,76.9,0.0,0.0,1.0,0
4000.0, 36 months,11.98,B,B5,4 years,MORTGAGE,70000.0,Not Verified,credit_card,7.05,725.0,729.0,5.0,9882.0,65.9,0.0,0.0,0.0,0
19125.0, 60 months,14.33,C,C2,10+ years,RENT,60000.0,Source Verified,home_improvement,13.66,685.0,689.0,8.0,655.0,4.6,0.0,1.0,1.0,0
1800.0, 36 months,15.61,D,D1,1 year,RENT,28000.0,Source Verified,credit_card,30.48,660.0,664.0,28.0,9728.0,79.1,0.0,0.0,0.0,1
12000.0, 36 months,7.97,A,A5,2 years,RENT,55000.0,Not Verified,debt_consolidation,26.95,730.0,734.0,10.0,434.0,2.6,0.0,0.0,0.0,0
10000.0, 36 months,6.49,A,A2,10+ years,RENT,38000.0,Source Verified,credit_card,26.11,735.0,739.0,11.0,13248.0,38.4,0.0,0.0,0.0,0
18000.0, 36 months,11.99,B,B5,< 1 year,MORTGAGE,65000.0,Source Verified,debt_consolidation,20.12,680.0,684.0,13.0,15052.0,78.8,1.0,0.0,1.0,0
6000.0, 36 months,13.56,C,C1,7 years,MORTGAGE,32000.0,Not Verified,other,12.27,695.0,699.0,6.0,1706.0,21.9,0.0,0.0,0.0,0
12000.0, 60 months,12.79,C,C1,9 years,MORTGAGE,130000.0,Verified,debt_consolidation,12.78,710.0,714.0,9.0,4304.0,19.7,0.0,0.0,0.0,0
10000.0, 36 months,15.31,C,C2,10+ years,MORTGAGE,48000.0,Verified,debt_consolidation,13.18,675.0,679.0,5.0,6416.0,75.5,1.0,0.0,0.0,1
12000.0, 36 months,9.99,B,B3,3 years,RENT,95000.0,Source Verified,debt_consolidation,21.84,670.0,674.0,13.0,7251.0,58.5,0.0,1.0,1.0,1
12000.0, 36 months,8.18,B,B1,4 years,MORTGAGE,96000.0,Source Verified,other,17.31,750.0,754.0,8.0,56207.0,30.3,0.0,0.0,0.0,0
9000.0, 36 months,9.17,B,B2,3 years,RENT,101000.0,Verified,debt_consolidation,23.96,725.0,729.0,10.0,24139.0,41.3,0.0,1.0,1.0,1
6000.0, 36 months,12.12,B,B3,4 years,RENT,50000.0,Not Verified,debt_consolidation,26.95,680.0,684.0,8.0,26833.0,88.0,0.0,0.0,0.0,0
11400.0, 60 months,17.86,D,D5,10+ years,RENT,42000.0,Source Verified,debt_consolidation,37.52,670.0,674.0,16.0,2809.0,24.9,2.0,0.0,0.0,1
7500.0, 36 months,10.99,B,B4,3 years,RENT,51500.0,Source Verified,credit_card,28.73,675.0,679.0,14.0,27011.0,70.3,1.0,0.0,1.0,0
10000.0, 60 months,14.99,C,C4,< 1 year,MORTGAGE,80000.0,Verified,credit_card,19.04,670.0,674.0,9.0,18991.0,47.0,0.0,1.0,1.0,0
28000.0, 60 months,10.99,B,B3,10+ years,MORTGAGE,85000.0,Source Verified,credit_card,22.56,740.0,744.0,16.0,51230.0,44.7,0.0,0.0,0.0,0
19675.0, 36 months,15.59,C,C5,8 years,RENT,74000.0,Source Verified,debt_consolidation,17.89,700.0,704.0,8.0,18120.0,50.5,0.0,0.0,0.0,0
8000.0, 36 months,11.99,C,C1,7 years,MORTGAGE,55000.0,Verified,debt_consolidation,28.69,665.0,669.0,9.0,20545.0,72.3,1.0,0.0,0.0,0
