actual,probability_of_default,risk_band,decision,credit_score
0,0.05393971257542464,Very Low Risk,Approve,820
0,0.3236506897188385,Very High Risk,Reject,672
0,0.11301792158339052,Low Risk,Manual Review,788
1,0.06962841615338874,Very Low Risk,Approve,812
1,0.30326096822539067,High Risk,Reject,683
0,0.12016849259935454,Low Risk,Manual Review,784
0,0.09946540463696753,Low Risk,Approve,795
0,0.124912338814151,Low Risk,Manual Review,781
0,0.052013554346418106,Very Low Risk,Approve,821
0,0.1712899469711327,Medium Risk,Manual Review,756
0,0.03609555031885185,Very Low Risk,Approve,830
0,0.23881097499063267,High Risk,Manual Review,719
0,0.3127451526959386,Very High Risk,Reject,678
0,0.11500469845486386,Low Risk,Manual Review,787
0,0.29802010266015233,High Risk,Reject,686
0,0.21569167790685956,High Risk,Manual Review,731
0,0.020352447981195718,Very Low Risk,Approve,839
0,0.16798918207991465,Medium Risk,Manual Review,758
0,0.038332384494566885,Very Low Risk,Approve,829
0,0.2192518053567719,High Risk,Manual Review,729
0,0.2695267379286834,High Risk,Reject,702
1,0.3483199501333345,Very High Risk,Reject,658
0,0.1639145187222746,Medium Risk,Manual Review,760
0,0.050261351779980416,Very Low Risk,Approve,822
0,0.17508218445578316,Medium Risk,Manual Review,754
0,0.35562727930049354,Very High Risk,Reject,654
0,0.2091454046321275,Medium Risk,Manual Review,735
0,0.07771322159050428,Very Low Risk,Approve,807
0,0.09564728962357821,Low Risk,Approve,797
0,0.20308263788209263,Medium Risk,Manual Review,738
0,0.30882150693166566,High Risk,Reject,680
0,0.0952586768161603,Low Risk,Approve,798
1,0.430693489014508,Very High Risk,Reject,613
0,0.09198328668059717,Low Risk,Approve,799
0,0.1705959228392491,Medium Risk,Manual Review,756
0,0.1648663376711717,Medium Risk,Manual Review,759
0,0.1733846052223588,Medium Risk,Manual Review,755
1,0.33577294265562746,Very High Risk,Reject,665
1,0.4871739721057923,Very High Risk,Reject,582
1,0.15185661183661736,Medium Risk,Manual Review,766
0,0.1231014071661203,Low Risk,Manual Review,782
0,0.0915496562935366,Low Risk,Approve,800
0,0.05364458043176555,Very Low Risk,Approve,820
0,0.1878771386787221,Medium Risk,Manual Review,747
0,0.07480458624599724,Very Low Risk,Approve,809
0,0.19208888632635027,Medium Risk,Manual Review,744
0,0.19984610347152695,Medium Risk,Manual Review,740
0,0.4328169063778714,Very High Risk,Reject,612
0,0.5069549387864529,Very High Risk,Reject,571
0,0.3796390476008906,Very High Risk,Reject,641
0,0.2175940261094255,High Risk,Manual Review,730
0,0.28143827256909887,High Risk,Reject,695
0,0.03153093744239651,Very Low Risk,Approve,833
0,0.18641769967081087,Medium Risk,Manual Review,747
1,0.24060737248608524,High Risk,Manual Review,718
0,0.1312762583122397,Low Risk,Manual Review,778
0,0.044192538478475075,Very Low Risk,Approve,826
0,0.19143664422860754,Medium Risk,Manual Review,745
0,0.11812495504521853,Low Risk,Manual Review,785
0,0.2315676708272356,High Risk,Manual Review,723
1,0.5506909079592269,Very High Risk,Reject,547
1,0.1626250590260738,Medium Risk,Manual Review,761
0,0.14090976391986007,Low Risk,Manual Review,772
0,0.15821979416166293,Medium Risk,Manual Review,763
0,0.10806242217141569,Low Risk,Manual Review,791
0,0.3298144776872599,Very High Risk,Reject,669
0,0.3058703699149417,High Risk,Reject,682
0,0.09656293912061793,Low Risk,Approve,797
0,0.5577351246779935,Very High Risk,Reject,543
0,0.23830081328415154,High Risk,Manual Review,719
0,0.09549205227912069,Low Risk,Approve,797
0,0.3055803307207267,High Risk,Reject,682
0,0.2287006183908549,High Risk,Manual Review,724
0,0.32186141047105404,Very High Risk,Reject,673
1,0.3075867613826482,High Risk,Reject,681
0,0.10807601327987186,Low Risk,Manual Review,791
1,0.3219313039833573,Very High Risk,Reject,673
0,0.050069908956709444,Very Low Risk,Approve,822
1,0.096425382285623,Low Risk,Approve,797
0,0.31368799717843826,Very High Risk,Reject,677
0,0.1261700798453033,Low Risk,Manual Review,781
0,0.14810031378078825,Medium Risk,Manual Review,769
0,0.21939951611620834,High Risk,Manual Review,729
0,0.2854462053172514,High Risk,Reject,693
0,0.08203530237385734,Very Low Risk,Approve,805
0,0.20442980036969968,Medium Risk,Manual Review,738
0,0.22065849333615745,High Risk,Manual Review,729
0,0.03657135685441226,Very Low Risk,Approve,830
1,0.19453005269460927,Medium Risk,Manual Review,743
0,0.24673676517939327,High Risk,Manual Review,714
0,0.28635666146343314,High Risk,Reject,693
0,0.41449956040316627,Very High Risk,Reject,622
0,0.2654442402758116,High Risk,Reject,704
0,0.36812185795158797,Very High Risk,Reject,648
0,0.43749024874605513,Very High Risk,Reject,609
0,0.2324720070062314,High Risk,Manual Review,722
0,0.19607692765234117,Medium Risk,Manual Review,742
0,0.08525941156998543,Very Low Risk,Approve,803
0,0.27012039606235116,High Risk,Reject,701
0,0.15596169117676192,Medium Risk,Manual Review,764
0,0.2333259163922324,High Risk,Manual Review,722
0,0.07197668303243904,Very Low Risk,Approve,810
1,0.3655930205623928,Very High Risk,Reject,649
0,0.10641791987116037,Low Risk,Manual Review,791
0,0.11171977192372443,Low Risk,Manual Review,789
0,0.1292148774279941,Low Risk,Manual Review,779
0,0.18607842707246375,Medium Risk,Manual Review,748
0,0.28285124146739965,High Risk,Reject,694
0,0.2638851350063333,High Risk,Reject,705
1,0.29457021241062903,High Risk,Reject,688
0,0.19751719956920458,Medium Risk,Manual Review,741
0,0.04820882206529174,Very Low Risk,Approve,823
0,0.047880674431267305,Very Low Risk,Approve,824
0,0.24159377767555293,High Risk,Manual Review,717
1,0.07065681072252925,Very Low Risk,Approve,811
1,0.5402947077441443,Very High Risk,Reject,553
1,0.4846706127458939,Very High Risk,Reject,583
0,0.3655647726189648,Very High Risk,Reject,649
0,0.19390564287818685,Medium Risk,Manual Review,743
0,0.07447080379429696,Very Low Risk,Approve,809
0,0.06292440663379201,Very Low Risk,Approve,815
0,0.1372947361238267,Low Risk,Manual Review,774
0,0.3082808606377436,High Risk,Reject,680
0,0.32221826544632237,Very High Risk,Reject,673
0,0.217569086161853,High Risk,Manual Review,730
0,0.169163762871963,Medium Risk,Manual Review,757
0,0.10988790534898496,Low Risk,Manual Review,790
0,0.2407662887769822,High Risk,Manual Review,718
0,0.04878720581893327,Very Low Risk,Approve,823
0,0.04554171637260342,Very Low Risk,Approve,825
0,0.3286659658202947,Very High Risk,Reject,669
0,0.17034327354174156,Medium Risk,Manual Review,756
0,0.3638817335192199,Very High Risk,Reject,650
0,0.16733469771476656,Medium Risk,Manual Review,758
0,0.1417456540357604,Low Risk,Manual Review,772
0,0.15684313686645132,Medium Risk,Manual Review,764
0,0.03661054707382798,Very Low Risk,Approve,830
0,0.048899995677784164,Very Low Risk,Approve,823
1,0.05555670844472236,Very Low Risk,Approve,819
1,0.18323529349340972,Medium Risk,Manual Review,749
1,0.5907228832293958,Very High Risk,Reject,525
1,0.38338908808896155,Very High Risk,Reject,639
1,0.05130135302286553,Very Low Risk,Approve,822
1,0.12103839632452282,Low Risk,Manual Review,783
0,0.3430125723792896,Very High Risk,Reject,661
0,0.07355046448153219,Very Low Risk,Approve,810
1,0.32260906543632883,Very High Risk,Reject,673
0,0.6052406700655006,Very High Risk,Reject,517
0,0.33744741207559376,Very High Risk,Reject,664
1,0.1619873287289733,Medium Risk,Manual Review,761
0,0.041003224257557244,Very Low Risk,Approve,827
1,0.2582652835799342,High Risk,Reject,708
1,0.4512087886858682,Very High Risk,Reject,602
0,0.21110769317105688,Medium Risk,Manual Review,734
0,0.38528667522549764,Very High Risk,Reject,638
0,0.2974337426534298,High Risk,Reject,686
0,0.201674090600811,Medium Risk,Manual Review,739
1,0.376814029125727,Very High Risk,Reject,643
0,0.23569267386633003,High Risk,Manual Review,720
0,0.03221328498738863,Very Low Risk,Approve,832
0,0.19801761239912122,Medium Risk,Manual Review,741
0,0.03563330907251664,Very Low Risk,Approve,830
0,0.39823956900891794,Very High Risk,Reject,631
0,0.2791139614677584,High Risk,Reject,696
1,0.06548098766121928,Very Low Risk,Approve,814
0,0.32212772876828133,Very High Risk,Reject,673
0,0.021859396608749592,Very Low Risk,Approve,838
0,0.2592205986095498,High Risk,Reject,707
0,0.40443871516309404,Very High Risk,Reject,628
0,0.2528424457003549,High Risk,Reject,711
0,0.05774698083102326,Very Low Risk,Approve,818
1,0.22127398678587987,High Risk,Manual Review,728
1,0.2770907194150475,High Risk,Reject,698
0,0.09298921255783903,Low Risk,Approve,799
0,0.40181457937323906,Very High Risk,Reject,629
0,0.05757696082801663,Very Low Risk,Approve,818
1,0.2000361511435695,Medium Risk,Manual Review,740
0,0.233990468946352,High Risk,Manual Review,721
0,0.16078732255151187,Medium Risk,Manual Review,762
1,0.3614373026032324,Very High Risk,Reject,651
0,0.2055145824149155,Medium Risk,Manual Review,737
0,0.13170478752847653,Low Risk,Manual Review,778
0,0.2754703460491571,High Risk,Reject,698
0,0.30411496659277276,High Risk,Reject,683
0,0.06512850746821387,Very Low Risk,Approve,814
0,0.15842136129914194,Medium Risk,Manual Review,763
1,0.3235172526798092,Very High Risk,Reject,672
0,0.4436931239384732,Very High Risk,Reject,606
0,0.07278375930633099,Very Low Risk,Approve,810
0,0.03866704630221604,Very Low Risk,Approve,829
0,0.17135315424848702,Medium Risk,Manual Review,756
0,0.02597005816625315,Very Low Risk,Approve,836
0,0.05805891102087171,Very Low Risk,Approve,818
0,0.1585023044071403,Medium Risk,Manual Review,763
1,0.14269624428211325,Low Risk,Manual Review,772
0,0.4113135858368941,Very High Risk,Reject,624
1,0.27890376361933084,High Risk,Reject,697
0,0.18100220708885012,Medium Risk,Manual Review,750
0,0.1096219682214326,Low Risk,Manual Review,790
0,0.19796946415299882,Medium Risk,Manual Review,741
0,0.1246459516277416,Low Risk,Manual Review,781
0,0.03545307367566166,Very Low Risk,Approve,831
0,0.5819377412408027,Very High Risk,Reject,530
0,0.09125944602181574,Low Risk,Approve,800
0,0.11906125306607807,Low Risk,Manual Review,785
0,0.09661426828969676,Low Risk,Approve,797
0,0.05591077822349207,Very Low Risk,Approve,819
0,0.1920795563772639,Medium Risk,Manual Review,744
0,0.2706490233372113,High Risk,Reject,701
0,0.32113203953508695,Very High Risk,Reject,673
0,0.16594995441841937,Medium Risk,Manual Review,759
0,0.05637339955046752,Very Low Risk,Approve,819
1,0.6067846670705067,Very High Risk,Reject,516
0,0.1924845485689789,Medium Risk,Manual Review,744
0,0.15166309766663436,Medium Risk,Manual Review,767
0,0.30708856498320164,High Risk,Reject,681
0,0.2563292217294227,High Risk,Reject,709
0,0.5699178164138056,Very High Risk,Reject,537
0,0.06186315019698863,Very Low Risk,Approve,816
1,0.1457652734255472,Low Risk,Manual Review,770
0,0.21026475792302127,Medium Risk,Manual Review,734
0,0.2819366379011758,High Risk,Reject,695
0,0.07714792957364446,Very Low Risk,Approve,808
0,0.16471327387639786,Medium Risk,Manual Review,759
0,0.16964983819537063,Medium Risk,Manual Review,757
1,0.522140182421477,Very High Risk,Reject,563
1,0.3035791896325016,High Risk,Reject,683
1,0.4755804700252303,Very High Risk,Reject,588
1,0.27623204561980413,High Risk,Reject,698
0,0.3376648903755161,Very High Risk,Reject,664
0,0.2011020884774169,Medium Risk,Manual Review,739
0,0.16592838471119523,Medium Risk,Manual Review,759
0,0.2300556103005784,High Risk,Manual Review,723
0,0.11609480150494007,Low Risk,Manual Review,786
1,0.0941969096831691,Low Risk,Approve,798
0,0.43205237297035753,Very High Risk,Reject,612
0,0.1742430853012102,Medium Risk,Manual Review,754
0,0.0729216716494561,Very Low Risk,Approve,810
0,0.11530767994167411,Low Risk,Manual Review,787
0,0.24552942052739649,High Risk,Manual Review,715
0,0.17194768650863548,Medium Risk,Manual Review,755
0,0.363211523983381,Very High Risk,Reject,650
0,0.2132523990185051,Medium Risk,Manual Review,733
0,0.06675475387390904,Very Low Risk,Approve,813
0,0.10232598128480928,Low Risk,Manual Review,794
0,0.08868592528899225,Low Risk,Approve,801
0,0.22890019646467685,High Risk,Manual Review,724
0,0.3776208481550396,Very High Risk,Reject,642
1,0.10296235697593412,Low Risk,Manual Review,793
0,0.23907755398327582,High Risk,Manual Review,719
0,0.0696091864958411,Very Low Risk,Approve,812
0,0.14090172149839977,Low Risk,Manual Review,773
1,0.29384510937282654,High Risk,Reject,688
0,0.1579308302501432,Medium Risk,Manual Review,763
0,0.1459800322678542,Medium Risk,Manual Review,770
0,0.23334128387368114,High Risk,Manual Review,722
1,0.09715213036301612,Low Risk,Approve,797
0,0.20321757797333984,Medium Risk,Manual Review,738
1,0.20511780418705003,Medium Risk,Manual Review,737
0,0.20100800046129577,Medium Risk,Manual Review,739
0,0.10122381053140657,Low Risk,Manual Review,794
1,0.661452517044826,Very High Risk,Reject,486
0,0.08306294999793655,Very Low Risk,Approve,804
0,0.4088466386143598,Very High Risk,Reject,625
1,0.3108132232059905,High Risk,Reject,679
0,0.250576977252666,High Risk,Reject,712
0,0.03909669287133691,Very Low Risk,Approve,828
0,0.055795358594506704,Very Low Risk,Approve,819
0,0.037956063213177134,Very Low Risk,Approve,829
0,0.19072354211057221,Medium Risk,Manual Review,745
1,0.3870022720239249,Very High Risk,Reject,637
0,0.26790238727295573,High Risk,Reject,703
0,0.2999410867139269,High Risk,Reject,685
0,0.07263900430244563,Very Low Risk,Approve,810
0,0.17556352316314006,Medium Risk,Manual Review,753
0,0.32912112572547336,Very High Risk,Reject,669
0,0.5776426349588063,Very High Risk,Reject,532
1,0.35033133307836195,Very High Risk,Reject,657
1,0.5643317542126398,Very High Risk,Reject,540
0,0.0570321035683139,Very Low Risk,Approve,819
0,0.1120074356804607,Low Risk,Manual Review,788
0,0.5167970276115053,Very High Risk,Reject,566
0,0.10992651221713895,Low Risk,Manual Review,790
0,0.24942615003131152,High Risk,Manual Review,713
0,0.3922697676183428,Very High Risk,Reject,634
0,0.20826059894125593,Medium Risk,Manual Review,735
0,0.15697533125005111,Medium Risk,Manual Review,764
0,0.31339119856244724,Very High Risk,Reject,678
0,0.3220207959708963,Very High Risk,Reject,673
0,0.16593033635389112,Medium Risk,Manual Review,759
0,0.3451027448159736,Very High Risk,Reject,660
1,0.4333807408600415,Very High Risk,Reject,612
0,0.05115807332989704,Very Low Risk,Approve,822
0,0.26013633871388014,High Risk,Reject,707
0,0.11716770097474957,Low Risk,Manual Review,786
0,0.14307323588067858,Low Risk,Manual Review,771
0,0.04344216028030108,Very Low Risk,Approve,826
0,0.16116985420120095,Medium Risk,Manual Review,761
0,0.5206888180611459,Very High Risk,Reject,564
0,0.21031775077813392,Medium Risk,Manual Review,734
0,0.1932811034212319,Medium Risk,Manual Review,744
0,0.28904837451695503,High Risk,Reject,691
0,0.21285465165975903,Medium Risk,Manual Review,733
0,0.1734835950198307,Medium Risk,Manual Review,755
1,0.37281984593469253,Very High Risk,Reject,645
0,0.11803348114238231,Low Risk,Manual Review,785
0,0.14488754075804539,Low Risk,Manual Review,770
1,0.39479357953436267,Very High Risk,Reject,633
0,0.06892491896243491,Very Low Risk,Approve,812
0,0.28179022653487407,High Risk,Reject,695
0,0.10174688337522436,Low Risk,Manual Review,794
0,0.198024101931385,Medium Risk,Manual Review,741
0,0.1358215253663896,Low Risk,Manual Review,775
0,0.4533066476088389,Very High Risk,Reject,601
0,0.2097554164870318,Medium Risk,Manual Review,735
1,0.21132361980840692,Medium Risk,Manual Review,734
0,0.2020997191397655,Medium Risk,Manual Review,739
1,0.41542056056177623,Very High Risk,Reject,622
1,0.4819547116366257,Very High Risk,Reject,585
0,0.22806986258641243,High Risk,Manual Review,725
1,0.14398261355478717,Low Risk,Manual Review,771
0,0.18505012511899582,Medium Risk,Manual Review,748
0,0.09663161828662367,Low Risk,Approve,797
0,0.30718722982107477,High Risk,Reject,681
0,0.06457323396699742,Very Low Risk,Approve,814
1,0.29666647000062807,High Risk,Reject,687
0,0.18343747632072202,Medium Risk,Manual Review,749
1,0.2843061414362534,High Risk,Reject,694
0,0.4796918939827428,Very High Risk,Reject,586
0,0.034690115196793235,Very Low Risk,Approve,831
1,0.2473003071095067,High Risk,Manual Review,714
0,0.05038312547833656,Very Low Risk,Approve,822
0,0.028337172809159546,Very Low Risk,Approve,834
0,0.07394159851009907,Very Low Risk,Approve,809
0,0.07932118698174091,Very Low Risk,Approve,806
1,0.48186743597826287,Very High Risk,Reject,585
0,0.2631812287764056,High Risk,Reject,705
1,0.07561007754636981,Very Low Risk,Approve,808
0,0.13241763463038622,Low Risk,Manual Review,777
1,0.06760478115914231,Very Low Risk,Approve,813
0,0.12849623499374704,Low Risk,Manual Review,779
0,0.23803889502011513,High Risk,Manual Review,719
0,0.13364215822111541,Low Risk,Manual Review,776
0,0.16077143099780478,Medium Risk,Manual Review,762
0,0.3576079834412403,Very High Risk,Reject,653
0,0.08604691556256913,Very Low Risk,Approve,803
1,0.2676126458569896,High Risk,Reject,703
1,0.0998408937763235,Low Risk,Approve,795
0,0.15120162108995083,Medium Risk,Manual Review,767
0,0.17662051124387845,Medium Risk,Manual Review,753
0,0.16066191690225196,Medium Risk,Manual Review,762
0,0.1536137294212837,Medium Risk,Manual Review,766
1,0.2610502125952832,High Risk,Reject,706
1,0.062335309703850775,Very Low Risk,Approve,816
0,0.13376444031387644,Low Risk,Manual Review,776
0,0.11028723403715913,Low Risk,Manual Review,789
1,0.36863992624945224,Very High Risk,Reject,647
0,0.0828345829286619,Very Low Risk,Approve,804
0,0.1362517665344348,Low Risk,Manual Review,775
1,0.38162237691541323,Very High Risk,Reject,640
0,0.1540777086775376,Medium Risk,Manual Review,765
0,0.27899683359006194,High Risk,Reject,697
1,0.3727388231908488,Very High Risk,Reject,645
1,0.16957063818426352,Medium Risk,Manual Review,757
0,0.15407111317638222,Medium Risk,Manual Review,765
1,0.43486258644280534,Very High Risk,Reject,611
1,0.1613742955664272,Medium Risk,Manual Review,761
1,0.44865619695114983,Very High Risk,Reject,603
0,0.11646499956551185,Low Risk,Manual Review,786
0,0.04784381096711081,Very Low Risk,Approve,824
0,0.16246773275145215,Medium Risk,Manual Review,761
1,0.3939315244891024,Very High Risk,Reject,633
1,0.19416590237974082,Medium Risk,Manual Review,743
0,0.22399321665017388,High Risk,Manual Review,727
0,0.16391000454440105,Medium Risk,Manual Review,760
0,0.0484177545372634,Very Low Risk,Approve,823
1,0.17854815961017942,Medium Risk,Manual Review,752
0,0.44363098246604604,Very High Risk,Reject,606
0,0.0579440326040869,Very Low Risk,Approve,818
0,0.16964108559253233,Medium Risk,Manual Review,757
0,0.10259090651406735,Low Risk,Manual Review,794
0,0.36077272732015697,Very High Risk,Reject,652
0,0.23604390868435718,High Risk,Manual Review,720
0,0.2139345027838591,High Risk,Manual Review,732
0,0.09197202711973755,Low Risk,Approve,799
0,0.10377083569252532,Low Risk,Manual Review,793
0,0.17085484447888333,Medium Risk,Manual Review,756
0,0.36253190493234294,Very High Risk,Reject,651
0,0.3132267535885255,Very High Risk,Reject,678
0,0.2952819674117455,High Risk,Reject,688
0,0.15852930030622675,Medium Risk,Manual Review,763
0,0.0540214426921769,Very Low Risk,Approve,820
0,0.1838417815477092,Medium Risk,Manual Review,749
0,0.3064328210249138,High Risk,Reject,681
0,0.21689966779612674,High Risk,Manual Review,731
0,0.27759336929816186,High Risk,Reject,697
0,0.06617497905008356,Very Low Risk,Approve,814
0,0.24822196829000792,High Risk,Manual Review,713
0,0.14993303793377852,Medium Risk,Manual Review,768
0,0.07420339013003353,Very Low Risk,Approve,809
0,0.04385678984014576,Very Low Risk,Approve,826
0,0.1808953671713046,Medium Risk,Manual Review,751
0,0.036300999333500124,Very Low Risk,Approve,830
1,0.14499147018161854,Low Risk,Manual Review,770
0,0.05011172097857477,Very Low Risk,Approve,822
0,0.057200272673253144,Very Low Risk,Approve,819
0,0.5279227850088585,Very High Risk,Reject,560
0,0.3095298998595919,High Risk,Reject,680
0,0.05589019555233348,Very Low Risk,Approve,819
0,0.42839833915801956,Very High Risk,Reject,614
1,0.1795144702414851,Medium Risk,Manual Review,751
0,0.17026543583493267,Medium Risk,Manual Review,756
0,0.1367551747382331,Low Risk,Manual Review,775
0,0.07156631989452078,Very Low Risk,Approve,811
0,0.3048627094319052,High Risk,Reject,682
0,0.2679008413143604,High Risk,Reject,703
0,0.3088004725671358,High Risk,Reject,680
0,0.09357153591164451,Low Risk,Approve,799
0,0.3360197119988719,Very High Risk,Reject,665
0,0.04322944436422191,Very Low Risk,Approve,826
1,0.235175986772244,High Risk,Manual Review,721
0,0.032036438016318156,Very Low Risk,Approve,832
0,0.09753035531671346,Low Risk,Approve,796
0,0.08225938502257145,Very Low Risk,Approve,805
0,0.030009599340811908,Very Low Risk,Approve,833
0,0.36379836152108225,Very High Risk,Reject,650
1,0.4846197138821084,Very High Risk,Reject,583
0,0.06769436365922905,Very Low Risk,Approve,813
0,0.1766760553013909,Medium Risk,Manual Review,753
1,0.29731475123714846,High Risk,Reject,686
1,0.4763447577360249,Very High Risk,Reject,588
0,0.17638268178660366,Medium Risk,Manual Review,753
0,0.3622026799448005,Very High Risk,Reject,651
0,0.08468530113823827,Very Low Risk,Approve,803
1,0.1356611061339334,Low Risk,Manual Review,775
0,0.20839085478160027,Medium Risk,Manual Review,735
0,0.09099046580458378,Low Risk,Approve,800
0,0.06801217655058227,Very Low Risk,Approve,813
1,0.3821022723605399,Very High Risk,Reject,640
0,0.07151836697277239,Very Low Risk,Approve,811
0,0.11556047312404039,Low Risk,Manual Review,786
0,0.44336380313140333,Very High Risk,Reject,606
0,0.24507924346588833,High Risk,Manual Review,715
0,0.19714719522518512,Medium Risk,Manual Review,742
0,0.16584740661114733,Medium Risk,Manual Review,759
1,0.22968105783232715,High Risk,Manual Review,724
0,0.13655781030391373,Low Risk,Manual Review,775
0,0.1791051563476875,Medium Risk,Manual Review,751
0,0.08936926686753911,Low Risk,Approve,801
0,0.48995504492471614,Very High Risk,Reject,581
1,0.16868135448867247,Medium Risk,Manual Review,757
0,0.23162607137698266,High Risk,Manual Review,723
0,0.12530349022053705,Low Risk,Manual Review,781
1,0.18595573246244199,Medium Risk,Manual Review,748
0,0.18557966851036928,Medium Risk,Manual Review,748
0,0.26877512028505907,High Risk,Reject,702
0,0.39600606236755126,Very High Risk,Reject,632
0,0.2685232454968235,High Risk,Reject,702
0,0.5373425036226757,Very High Risk,Reject,554
0,0.06907716648386696,Very Low Risk,Approve,812
0,0.1556009916104076,Medium Risk,Manual Review,764
0,0.3486206060338415,Very High Risk,Reject,658
1,0.13406953532965935,Low Risk,Manual Review,776
0,0.48080774384747116,Very High Risk,Reject,586
0,0.041488647065618126,Very Low Risk,Approve,827
0,0.2747540374319387,High Risk,Reject,699
0,0.36472032249908376,Very High Risk,Reject,649
0,0.1422873424456198,Low Risk,Manual Review,772
0,0.4194779323852304,Very High Risk,Reject,619
1,0.4917456102639212,Very High Risk,Reject,580
1,0.17570559321007764,Medium Risk,Manual Review,753
0,0.490117169877021,Very High Risk,Reject,580
0,0.08250990046830801,Very Low Risk,Approve,805
0,0.3777278684570658,Very High Risk,Reject,642
0,0.06503406164342367,Very Low Risk,Approve,814
0,0.042142602274220516,Very Low Risk,Approve,827
0,0.07417395550478313,Very Low Risk,Approve,809
1,0.15992321410640692,Medium Risk,Manual Review,762
0,0.09653062352562466,Low Risk,Approve,797
0,0.24670261128057977,High Risk,Manual Review,714
0,0.10553611659540107,Low Risk,Manual Review,792
1,0.28876371161562997,High Risk,Reject,691
0,0.024066277091622422,Very Low Risk,Approve,837
0,0.4056965391409743,Very High Risk,Reject,627
0,0.025457624376501977,Very Low Risk,Approve,836
0,0.1752580051346215,Medium Risk,Manual Review,754
1,0.2583421731791734,High Risk,Reject,708
0,0.3953707273848839,Very High Risk,Reject,633
0,0.04456847450039826,Very Low Risk,Approve,825
0,0.30323577029416515,High Risk,Reject,683
0,0.1314854464972209,Low Risk,Manual Review,778
0,0.23636214876070824,High Risk,Manual Review,720
0,0.2224957555627029,High Risk,Manual Review,728
0,0.08942141635666606,Low Risk,Approve,801
0,0.1439877508381793,Low Risk,Manual Review,771
1,0.27399674167838756,High Risk,Reject,699
0,0.2195108477411074,High Risk,Manual Review,729
0,0.4087099129174246,Very High Risk,Reject,625
0,0.34007901845243077,Very High Risk,Reject,663
0,0.18239186044360775,Medium Risk,Manual Review,750
0,0.3117307823339867,Very High Risk,Reject,679
0,0.21892889744134086,High Risk,Manual Review,730
1,0.41945734619740416,Very High Risk,Reject,619
0,0.030408411024922952,Very Low Risk,Approve,833
0,0.0874266407377242,Low Risk,Approve,802
0,0.22431069258259578,High Risk,Manual Review,727
1,0.4177651934998605,Very High Risk,Reject,620
0,0.08545451411066486,Very Low Risk,Approve,803
1,0.12987859465448745,Low Risk,Manual Review,779
0,0.08065415440823698,Very Low Risk,Approve,806
0,0.19565304785067808,Medium Risk,Manual Review,742
0,0.13205695849396182,Low Risk,Manual Review,777
0,0.17645264960711873,Medium Risk,Manual Review,753
0,0.031934553672353524,Very Low Risk,Approve,832
0,0.11428492176711376,Low Risk,Manual Review,787
0,0.08671706105015792,Very Low Risk,Approve,802
1,0.38898946403322854,Very High Risk,Reject,636
0,0.17094938578373667,Medium Risk,Manual Review,756
0,0.062103053352141,Very Low Risk,Approve,816
0,0.19174623011040104,Medium Risk,Manual Review,745
1,0.4605595622230979,Very High Risk,Reject,597
0,0.2682131135565304,High Risk,Reject,702
0,0.024117886829229544,Very Low Risk,Approve,837
0,0.16745553672923735,Medium Risk,Manual Review,758
